"Match No","Stadium","Team 1","Team 1 Score","Team 1 Overs","Team 2","Team 2 Score","Team 2 Overs"
"1","Bengaluru","Sunrisers Hyderabad","201/9","","RCB","203/4","15.4/20 ov, target 202"
"2","Mumbai","Kolkata Knight Riders","220/4","","Mumbai Indians","224/4","19.1/20 ov, target 221"
"3","Guwahati","Chennai Super Kings","127","","Rajasthan Royals","128/2","12.1/20 ov, target 128"
"4","New Chandigarh","Gujarat Titans","162/6","","Punjab Kings","165/7","19.1/20 ov, target 163"
"5","Lucknow","Lucknow Super Giants","141","","Delhi Capitals","145/4","17.1/20 ov, target 142"
"6","Kolkata","Sunrisers Hyderabad","226/8","","Kolkata Knight Riders","161","16/20 ov, target 227"
"7","Chennai","Chennai Super Kings","209/5","","Punjab Kings","210/5","18.4/20 ov, target 210"
"8","Delhi","Mumbai Indians","162/6","","Delhi Capitals","164/4","18.1/20 ov, target 163"
"9","Ahmedabad","Rajasthan Royals","210/6","","Gujarat Titans","204/8","20 ov, target 211"
"10","Hyderabad","Sunrisers Hyderabad","156/9","","Lucknow Super Giants","160/5","19.5/20 ov, target 157"
"11","Bengaluru","RCB","250/3","","Chennai Super Kings","207","19.4/20 ov, target 251"
"12","Kolkata","Kolkata Knight Riders","25/2","3.4/20 ov","Punjab Kings","",""
"13","Guwahati","Rajasthan Royals","150/3","11/11 ov","Mumbai Indians","123/9","11 ov, target 151"
"14","Delhi","Gujarat Titans","210/4","","Delhi Capitals","209/8","20 ov, target 211"
"15","Kolkata","Kolkata Knight Riders","181/4","","Lucknow Super Giants","182/7","20 ov, target 182"
"16","Guwahati","Royal Challengers Bengaluru","201/8","","Rajasthan Royals","202/4","18/20 ov, target 202"
"17","New Chandigarh","Sunrisers Hyderabad","219/6","","Punjab Kings","223/4","18.5/20 ov, target 220"
"18","Chennai","Chennai Super Kings","212/2","","Delhi Capitals","189","20 ov, target 213"
"19","Lucknow","Lucknow Super Giants","164/8","","Gujarat Titans","165/3","18.4/20 ov, target 165"
"20","Mumbai","RCB","240/4","","Mumbai Indians","222/5","20 ov, target 241"
"21","Hyderabad","Sunrisers Hyderabad","216/6","","Rajasthan Royals","159","19/20 ov, target 217"
"22","Chennai","Chennai Super Kings","192/5","","Kolkata Knight Riders","160/7","20 ov, target 193"
"23","Bengaluru","Lucknow Super Giants","146","","RCB","149/5","15.1/20 ov, target 147"
"24","Mumbai","Mumbai Indians","195/6","","Punjab Kings","198/3","16.3/20 ov, target 196"
"25","Ahmedabad","Kolkata Knight Riders","180","","Gujarat Titans","181/5","19.4/20 ov, target 181"
"26","Bengaluru","Royal Challengers Bengaluru","175/8","","Delhi Capitals","179/4","19.5/20 ov, target 176"
"27","Hyderabad","Sunrisers Hyderabad","194/9","","Chennai Super Kings","184/8","20 ov, target 195"
"28","Kolkata","Rajasthan Royals","155/9","","Kolkata Knight Riders","161/6","19.4/20 ov, target 156"
"29","New Chandigarh","Punjab Kings","254/7","","Lucknow Super Giants","200/5","20 ov, target 255"
"30","Ahmedabad","Mumbai Indians","199/5","","Gujarat Titans","100","15.5/20 ov, target 200"
"31","Hyderabad","Sunrisers Hyderabad","242/2","","Delhi Capitals","195/9","20 ov, target 243"
"32","Lucknow","Rajasthan Royals","159/6","","Lucknow Super Giants","119","18/20 ov, target 160"
"33","Mumbai","Chennai Super Kings","207/6","","Mumbai Indians","104","19/20 ov, target 208"
"34","Bengaluru","Gujarat Titans","205/3","","RCB","206/5","18.5/20 ov, target 206"
"35","Delhi","Delhi Capitals","264/2","","Punjab Kings","265/4","18.5/20 ov, target 265"
"36","Jaipur","Rajasthan Royals","228/6","","Sunrisers Hyderabad","229/5","18.3/20 ov, target 229"
"37","Chennai","Chennai Super Kings","158/7","","Gujarat Titans","162/2","16.4/20 ov, target 159"
"38","Lucknow","Kolkata Knight Riders","155/7","","Lucknow Super Giants","155/8","20 ov"
"39","Delhi","Delhi Capitals","75","","RCB","77/1","6.3/20 ov, target 76"
"40","New Chandigarh","Punjab Kings","222/4","","Rajasthan Royals","228/4","19.2/20 ov, target 223"
"41","Mumbai","Mumbai Indians","243/5","","Sunrisers Hyderabad","249/4","18.4/20 ov, target 244"
"42","Ahmedabad","Royal Challengers Bengaluru","155","","Gujarat Titans","158/6","15.5/20 ov, target 156"
"43","Jaipur","Rajasthan Royals","225/6","","Delhi Capitals","226/3","19.1/20 ov, target 226"
"44","Chennai","Mumbai Indians","159/7","","Chennai Super Kings","160/2","18.1/20 ov, target 160"
