"matchNo","team","batsman","dismissal","runs","balls","minutes","fours","sixes","strikeRate"
"1","Sunrisers Hyderabad","TM Head","c Salt b Duffy","11","9","17","2","0","122.22"
"1","Sunrisers Hyderabad","Abhishek Sharma","c †Sharma b Duffy","7","8","12","0","1","87.5"
"1","Sunrisers Hyderabad","Ishan Kishan (c) †","c Salt b Abhinandan Singh","80","38","73","8","5","210.52"
"1","Sunrisers Hyderabad","K Nitish Kumar Reddy","c Abhinandan Singh b Duffy","1","6","6","0","0","16.66"
"1","Sunrisers Hyderabad","H Klaasen","c Salt b Shepherd","31","22","42","2","1","140.9"
"1","Sunrisers Hyderabad","S Arora","c Padikkal b Suyash Sharma","9","6","6","0","1","150"
"1","Sunrisers Hyderabad","AU Verma","c Kohli b Shepherd","43","18","29","3","4","238.88"
"1","Sunrisers Hyderabad","HS Dubey","c Padikkal b Shepherd","3","3","5","0","0","100"
"1","Sunrisers Hyderabad","HV Patel","c Padikkal b Kumar","0","2","4","0","0","0"
"1","Sunrisers Hyderabad","DA Payne","not out","6","5","11","0","0","120"
"1","Sunrisers Hyderabad","JD Unadkat","not out","4","3","4","0","0","133.33"
"1","Royal Challengers Bengaluru","PD Salt","c Klaasen b Unadkat","8","7","6","2","0","114.28"
"1","Royal Challengers Bengaluru","V Kohli","not out","69","38","84","5","5","181.57"
"1","Royal Challengers Bengaluru","D Padikkal","c Klaasen b Dubey","61","26","36","7","4","234.61"
"1","Royal Challengers Bengaluru","RM Patidar (c)","c Dubey b Payne","31","12","19","2","3","258.33"
"1","Royal Challengers Bengaluru","JM Sharma †","c Unadkat b Payne","0","1","1","0","0","0"
"1","Royal Challengers Bengaluru","TH David","not out","16","10","18","1","1","160"
"2","Kolkata Knight Riders","AM Rahane (c)","c Pandya b Thakur","67","40","69","3","5","167.5"
"2","Kolkata Knight Riders","FH Allen","c Tilak Varma b Thakur","37","17","26","6","2","217.64"
"2","Kolkata Knight Riders","C Green","c Rutherford b Thakur","18","10","18","1","1","180"
