"MatchNo","Team","Bowling","Overs","Maidens","Runs","Wickets","Econ","Dots","fours","Sixes","Wides","NoBalls"
"1","Sunrisers Hyderabad","JA Duffy","4","0","22","3","5.5","13","1","1","1","0"
"1","Sunrisers Hyderabad","B Kumar","4","0","31","1","7.75","9","3","0","2","0"
"1","Sunrisers Hyderabad","Abhinandan Singh","3","0","38","1","12.66","7","2","4","0","0"
"1","Sunrisers Hyderabad","R Shepherd","4","0","54","3","13.5","5","4","4","1","0"
"1","Sunrisers Hyderabad","Suyash Sharma","3","0","28","1","9.33","6","5","0","0","0"
"1","Sunrisers Hyderabad","KH Pandya","2","0","26","0","13","1","0","3","0","0"
"1","Royal Challengers Bengaluru","K Nitish Kumar Reddy","2","0","19","0","9.5","5","4","0","0","0"
"1","Royal Challengers Bengaluru","JD Unadkat","3","0","29","1","9.66","6","2","2","1","0"
"1","Royal Challengers Bengaluru","DA Payne","3","0","35","2","11.66","5","2","3","1","0"
"1","Royal Challengers Bengaluru","HS Dubey","3","0","35","1","11.66","4","2","3","0","0"
"1","Royal Challengers Bengaluru","E Malinga","2","0","35","0","17.5","3","2","3","4","0"
"1","Royal Challengers Bengaluru","HV Patel","2.4","0","39","0","14.62","3","5","2","1","0"
"2","Kolkata Knight Riders","TA Boult","4","0","38","0","9.5","7","3","1","3","0"
"2","Kolkata Knight Riders","HH Pandya","3","0","39","1","13","7","5","2","2","0"
"2","Kolkata Knight Riders","AM Ghazanfar","4","0","51","0","12.75","6","3","4","1","0"
"2","Kolkata Knight Riders","JJ Bumrah","4","0","35","0","8.75","4","4","0","1","1"
"2","Kolkata Knight Riders","SN Thakur","4","0","39","3","9.75","7","5","1","0","0"
"2","Kolkata Knight Riders","M Markande","1","0","16","0","16","1","0","2","0","0"
"2","Mumbai Indians","VG Arora","4","0","52","1","13","8","5","4","1","0"
"2","Mumbai Indians","B Muzarabani","3","0","34","0","11.33","6","4","2","0","0"
"2","Mumbai Indians","CV Varun","4","0","48","0","12","5","6","2","1","0"
"2","Mumbai Indians","Kartik Tyagi","4","0","43","1","10.75","9","4","2","0","1"
"2","Mumbai Indians","SP Narine","3","0","30","1","10","6","1","3","0","0"
"2","Mumbai Indians","AS Roy","1.1","0","15","0","12.85","1","1","1","1","0"
"3","Chennai Super Kings","JC Archer","4","0","19","2","4.75","17","3","0","1","0"
"3","Chennai Super Kings","N Burger","4","0","26","2","6.5","14","2","1","3","1"
"3","Chennai Super Kings","Brijesh Sharma","3","0","17","1","5.66","10","2","0","2","0"
"3","Chennai Super Kings","Sandeep Sharma","2.4","0","22","1","8.25","3","1","1","0","0"
"3","Chennai Super Kings","Ravi Bishnoi","3","0","16","1","5.33","8","0","1","0","0"
"3","Chennai Super Kings","RA Jadeja","3","0","18","2","6","11","0","2","0","0"
"3","Rajasthan Royals","MJ Henry","3","0","40","0","13.33","2","2","3","1","0"
"3","Rajasthan Royals","KK Ahmed","3","0","17","0","5.66","10","3","0","0","0"
"3","Rajasthan Royals","A Kamboj","3","0","27","2","9","8","4","1","0","0"
"3","Rajasthan Royals","Noor Ahmad","2","0","24","0","12","4","0","3","0","0"
"3","Rajasthan Royals","J Overton","1","0","14","0","14","1","3","0","0","0"
"3","Rajasthan Royals","MW Short","0.1","0","1","0","6","0","0","0","0","0"
"4","Gujarat Titans","Arshdeep Singh","4","0","42","0","10.5","9","5","0","7","1"
"4","Gujarat Titans","XC Bartlett","4","0","36","0","9","9","5","1","1","0"
"4","Gujarat Titans","M Jansen","4","0","20","1","5","8","1","0","0","0"
"4","Gujarat Titans","V Vyshak","4","0","34","3","8.5","8","2","1","1","0"
"4","Gujarat Titans","YS Chahal","4","0","28","2","7","9","2","1","1","0"
"4","Punjab Kings","Mohammed Siraj","2","0","15","0","7.5","6","1","1","0","0"
"4","Punjab Kings","K Rabada","3","0","34","1","11.33","7","1","4","0","0"
"4","Punjab Kings","Ashok Sharma","3","0","31","1","10.33","8","1","3","2","0"
"4","Punjab Kings","Rashid Khan","4","0","29","1","7.25","10","1","2","0","0"
"4","Punjab Kings","Washington Sundar","3.1","0","27","1","8.52","6","1","2","0","0"
"4","Punjab Kings","M Prasidh Krishna","4","0","29","3","7.25","11","1","2","2","0"
