"MatchNo","Team","Bowling","Overs","Maidens","Runs","Wickets","Econ","Dots","fours","Sixes","Wides","NoBalls"
"","","JA Duffy","4","0","22","3","5.5","13","1","1","1","0"
"","","B Kumar","4","0","31","1","7.75","9","3","0","2","0"
"","","Abhinandan Singh","3","0","38","1","12.66","7","2","4","0","0"
"","","R Shepherd","4","0","54","3","13.5","5","4","4","1","0"
"","","Suyash Sharma","3","0","28","1","9.33","6","5","0","0","0"
"","","KH Pandya","2","0","26","0","13","1","0","3","0","0"
"","","K Nitish Kumar Reddy","2","0","19","0","9.5","5","4","0","0","0"
"","","JD Unadkat","3","0","29","1","9.66","6","2","2","1","0"
"","","DA Payne","3","0","35","2","11.66","5","2","3","1","0"
"","","HS Dubey","3","0","35","1","11.66","4","2","3","0","0"
"","","E Malinga","2","0","35","0","17.5","3","2","3","4","0"
"","","HV Patel","2.4","0","39","0","14.62","3","5","2","1","0"
"","","TA Boult","4","0","38","0","9.5","7","3","1","3","0"
"","","HH Pandya","3","0","39","1","13","7","5","2","2","0"
"","","AM Ghazanfar","4","0","51","0","12.75","6","3","4","1","0"
"","","JJ Bumrah","4","0","35","0","8.75","4","4","0","1","1"
"","","SN Thakur","4","0","39","3","9.75","7","5","1","0","0"
"","","M Markande","1","0","16","0","16","1","0","2","0","0"
"","","VG Arora","4","0","52","1","13","8","5","4","1","0"
"","","B Muzarabani","3","0","34","0","11.33","6","4","2","0","0"
"","","CV Varun","4","0","48","0","12","5","6","2","1","0"
"","","Kartik Tyagi","4","0","43","1","10.75","9","4","2","0","1"
"","","SP Narine","3","0","30","1","10","6","1","3","0","0"
"","","AS Roy","1.1","0","15","0","12.85","1","1","1","1","0"
"","","JC Archer","4","0","19","2","4.75","17","3","0","1","0"
"","","N Burger","4","0","26","2","6.5","14","2","1","3","1"
"","","Brijesh Sharma","3","0","17","1","5.66","10","2","0","2","0"
"","","Sandeep Sharma","2.4","0","22","1","8.25","3","1","1","0","0"
"","","Ravi Bishnoi","3","0","16","1","5.33","8","0","1","0","0"
"","","RA Jadeja","3","0","18","2","6","11","0","2","0","0"
"","","MJ Henry","3","0","40","0","13.33","2","2","3","1","0"
"","","KK Ahmed","3","0","17","0","5.66","10","3","0","0","0"
"","","A Kamboj","3","0","27","2","9","8","4","1","0","0"
"","","Noor Ahmad","2","0","24","0","12","4","0","3","0","0"
"","","J Overton","1","0","14","0","14","1","3","0","0","0"
"","","MW Short","0.1","0","1","0","6","0","0","0","0","0"
"","","Arshdeep Singh","4","0","42","0","10.5","9","5","0","7","1"
